PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20020628,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.80000,3.27000,3.23000,2382,3.23000,3.37000,10075,0.25
84415,20020731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.44000,3.00000,2.80000,423,2.80000,2.82000,10075,0.25
84415,20020830,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.26000,2.90000,2.50000,935,2.26000,2.56000,10075,0.25
84415,20020930,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.24000,2.74890,2.38000,529,2.15000,2.25000,10075,0.25
84415,20021031,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.02000,2.38000,2.06880,2494,2.03000,2.10000,10075,0.25
84415,20021129,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.00000,2.38000,2.20000,2471,2.18000,2.20000,10075,0.25
84415,20021231,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.12000,2.35000,2.30000,2352,2.05000,2.13000,13449,0.25
84415,20030131,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.10000,2.41000,2.24000,2038,2.11000,2.24000,13449,0.25
84415,20030228,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.10000,2.30000,-2.16500,487,2.13000,2.20000,13449,0.25
84415,20030331,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-2.16000,2.41000,2.30000,482,2.18000,2.30000,13449,0.25
84415,20030430,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.18000,2.55000,-2.44500,658,2.41000,2.48000,13449,0.25
84415,20030530,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,-2.44500,2.70000,2.51000,537,2.50000,2.70000,13449,0.25
84415,20030630,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,2.64000,3.25000,-3.07500,614,3.05000,3.10000,13449,0.25
84415,20030731,CRYS,CRYSTAL SYSTEMS SOLUTIONS,M7037810,3.05000,3.70000,3.51000,557,3.51000,3.70000,13449,0.25
84415,20030829,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.31000,3.69000,3.54000,296,3.37000,3.54000,13449,0.25
84415,20030930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.43100,4.00000,3.75000,605,3.75000,3.84000,13449,0.25
84415,20031031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.75000,4.55000,4.25000,551,4.25000,4.54000,13449,0.25
84415,20031128,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.25000,5.50000,5.03000,1462,4.86000,5.03000,13449,0.25
84415,20031231,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.20000,7.04000,5.90000,9856,5.96000,5.99000,13484,0.25
84415,20040130,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.64000,7.49000,7.15000,5923,6.91000,6.93000,13484,0.25
84415,20040227,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,5.51000,7.08000,5.57000,2857,5.50000,5.57000,13484,0.25
84415,20040331,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,4.63000,5.46000,5.15000,3666,5.14000,5.15000,13484,0.25
